,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
2507,COMP‐40908,nan,nan,nan,Stationary Source,nan,11/21/2018 10:00
2508,COMP‐40910,nan,nan,nan,Stationary Source,Gas Stations,11/23/2018 12:00
2509,COMP‐40915,18396 Jill Way ,Castro Valley,94546,Stationary Source,Other Stationary Sources,nan
2510,COMP‐40916,nan,nan,nan,nan,nan,11/23/2018 15:00
2511,COMP‐40920,3333 Pacific Place ,Long Beach,90806,Stationary Source,Odors,nan
2512,COMP‐40921,nan,Westminster,nan,nan,nan,nan
2513,COMP‐40922,18396 Jill Way ,Castro Valley,94546,Stationary Source,Other Stationary Sources,nan
2514,COMP‐40934,11610 Stanford Avenue ,Los Angeles,90059,Stationary Source,Other Stationary Sources,11/30/2018 0:00
2515,COMP‐40935,nan,nan,nan,nan,nan,12/1/2018 16:00
2516,COMP‐40937,nan,nan,nan,Stationary Source,Smoke,12/3/2018 6:30
2517,COMP‐40940,nan,nan,nan,nan,nan,11/28/2018 12:00
2518,COMP‐40942,nan,nan,nan,nan,nan,11/28/2018 21:00
2519,COMP‐40943,nan,nan,nan,nan,nan,12/1/2018 13:00
2520,COMP‐40944,nan,Monterey,nan,Stationary Source,Other Stationary Sources,12/2/2018 16:00
2521,COMP‐40945,1210 North Tustin Avenue,Anaheim,92807,nan,nan,12/2/2018 2:00
2522,COMP‐40946,nan,Escondido,92026,Stationary Source,Other Stationary Sources,11/3/2018 17:00
2523,COMP‐40948,8625 California 124,Ione,95640,Vehicle,Off Road Equipment,1/31/2017 16:00
2524,COMP‐40950,4025 Weslin Avenue,Los Angeles,91423,Vehicle,Other Vehicles,12/3/2018 16:00
2525,COMP‐40952,nan,Richmond,94801,Stationary Source,Smoke,12/3/2018 12:40
2526,COMP‐40953,1001 South Garrard Boulevard,Richmond,94801,Stationary Source,Smoke,12/4/2018 12:45
2527,COMP‐40958,nan,nan,nan,Stationary Source,Gas Stations,12/3/2018 17:30
2528,COMP‐40960,83071 Magnolia Avenue,Searles Valley,93562,nan,nan,12/2/2018 4:00
2529,COMP‐40964,1901 Johnson Avenue,Kingman,86401,Vehicle,Trucks,10/31/2018 17:00
2530,COMP‐40965,14981 National Avenue,Los Gatos,95032,Stationary Source,Other Stationary Sources,nan
2531,COMP‐40966,14981 National Avenue,Los Gatos,95032,Stationary Source,Other Stationary Sources,nan
2532,COMP‐40967,15001 National Avenue,Los Gatos,95032,Stationary Source,Other Stationary Sources,nan
2533,COMP‐40969,nan,Sausalito,94965,Stationary Source,Other Stationary Sources,nan
2534,COMP‐40972,nan,Long Beach,nan,Stationary Source,Odors,12/9/2018 14:00
2535,COMP‐40973,nan,Long Beach,nan,Stationary Source,Odors,12/9/2018 14:00
