,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
1419,COMP‐42760,nan,nan,nan,Stationary Source,Odors,4/22/2019 14:00
1420,COMP‐42762,nan,nan,nan,Stationary Source,Smoke,4/22/2019 0:00
1421,COMP‐42763,nan,Grizzly Flats,nan,Stationary Source,Smoke,4/22/2019 14:30
1422,COMP‐42766,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,4/22/2019 18:30
1423,COMP‐42767,1054 North Abbott Avenue,Milpitas,95035,nan,nan,4/21/2019 21:00
1424,COMP‐42768,1819 East Brundage Lane,Bakersfield,93307,Stationary Source,Gas Stations,4/22/2019 16:30
1425,COMP‐42769,9645 Kelly Lane,Penngrove,94951,Stationary Source,Odors,4/22/2019 18:00
1426,COMP‐42770,nan,Canyondam,nan,Stationary Source,Smoke,4/22/2019 19:00
1427,COMP‐42771,9733 Kelly Lane,Penngrove,94951,Stationary Source,Odors,4/23/2019 8:00
1428,COMP‐42773,9695 Kelly Lane,Penngrove,94951,Stationary Source,Odors,4/23/2019 9:00
1429,COMP‐42774,9635 Kelly Lane,Penngrove,94951,Stationary Source,Odors,4/23/2019 9:30
1430,COMP‐42775,867 South Winchester Boulevard,San Jose,95128,Stationary Source,Odors,4/23/2019 10:00
1431,COMP‐42776,nan,nan,nan,nan,nan,4/23/2019 0:00
1432,COMP‐42782,1950 North Harbor Drive,Oceanside,92054,Stationary Source,Dust,nan
1433,COMP‐42788,nan,Chowchilla,93610,nan,nan,4/24/2019 0:00
1434,COMP‐42870,nan,Sacramento,95814,nan,nan,4/25/2019 0:00
1435,COMP‐42871,nan,Penngrove,94951,Stationary Source,Odors,4/24/2019 16:00
1436,COMP‐42872,nan,nan,nan,Stationary Source,nan,4/25/2019 3:30
1437,COMP‐42873,nan,San Diego,92173,Stationary Source,Odors,nan
1438,COMP‐42876,nan,Huntington Beach,92646,Stationary Source,Dust,4/25/2019 0:00
1439,COMP‐42877,nan,Santa Rosa,95404,Stationary Source,Dust,4/25/2019 0:00
1440,COMP‐42878,nan,Visalia,93291,nan,nan,4/25/2019 0:00
1441,COMP‐42879,nan,Westminster,92683,Vehicle,Off Road Equipment,4/1/2019 8:00
1442,COMP‐42881,nan,Irvine,92614,Stationary Source,Odors,nan
1443,COMP‐42884,nan,Los Angeles,90012,Stationary Source,Odors,4/26/2019 7:00
1444,COMP‐42885,nan,Sacramento,95827,Vehicle,Trucks,4/26/2019 8:00
1445,COMP‐42888,nan,Newark,94560,Stationary Source,Painting,1/3/2019 0:00
1446,COMP‐42890,nan,Paradise,95969,Stationary Source,Dust,nan
1447,COMP‐42893,nan,Downey,90242,Stationary Source,Gas Stations,4/27/2019 10:30
1448,COMP‐42894,nan,McFarland,93250,Stationary Source,Gas Stations,4/28/2019 22:00
1449,COMP‐42896,nan,South Lake Tahoe,96150,Stationary Source,Dust,nan
1450,COMP‐42901,nan,Carmichael,95608,Stationary Source,nan,4/29/2019 12:00
1451,COMP‐42902,nan,Rocklin,95677,Stationary Source,nan,4/29/2019 12:00
1452,COMP‐42905,nan,Roseville,95678,Vehicle,Trucks,4/30/2019 0:00
1453,COMP‐42906,nan,Los Angeles,90047,Stationary Source,Odors,5/1/2019 0:00
1454,COMP‐42908,nan,Oakland,94607,Stationary Source,Odors,5/1/2019 0:00
1455,COMP‐42913,nan,San Jose,95128,Stationary Source,Odors,5/1/2019 10:00
1456,COMP‐42917,nan,Hayward,94545,Stationary Source,Other Stationary Sources,nan
1457,COMP‐42918,nan,Alameda,nan,Stationary Source,nan,5/1/2019 12:00
1458,COMP‐42919,nan,San Jose,95128,Stationary Source,Odors,5/2/2019 0:00
1459,COMP‐42921,2701 Cabrillo College Drive ,Aptos,95003,Stationary Source,Other Stationary Sources,nan
1460,COMP‐42931,1919 Market Street ,Oakland,94607,Stationary Source,nan,5/2/2019 12:00
1461,COMP‐42932,6709 Hayvenhurst Avenue ,Los Angeles,91406,Stationary Source,Painting,5/2/2019 12:00
1462,COMP‐42933,4307 Telegraph Avenue ,Oakland,94609,Stationary Source,Other Stationary Sources,5/2/2019 12:00
1463,COMP‐42935,715 Osborne Street ,Vista,92084,Stationary Source,Dust,5/3/2019 0:00
1464,COMP‐42936,20438 Shasta Street ,Burney,96013,Stationary Source,Asbestos,10/28/2018 0:00
1465,COMP‐42937,1224 Serramonte Boulevard,Daly City,94015,Vehicle,Cars,5/4/2019 0:00
1466,COMP‐42939,731 Lamar Street,Los Angeles,90031,Stationary Source,Dust,5/3/2019 12:00
1467,COMP‐42940,1780 North Beale Road,Marysville,95901,Stationary Source,Gas Stations,5/4/2019 12:00
1468,COMP‐42941,nan,Eureka,nan,Stationary Source,Smoke,5/5/2019 12:00
1469,COMP‐42942,100 West Perkins Avenue,McFarland,93250,Stationary Source,Gas Stations,4/28/2019 12:00
1470,COMP‐42948,2444 Fender Avenue,Fullerton,92831,nan,nan,5/7/2019 0:00
1471,COMP‐42950,2259 Conifer Way,Sacramento,95838,Stationary Source,Other Stationary Sources,5/6/2019 9:00
1472,COMP‐42951,nan,nan,nan,Vehicle,nan,5/6/2019 11:30
1473,COMP‐42952,671 Montgomery Street,Oroville,95965,Stationary Source,Gas Stations,5/6/2019 18:30
1474,COMP‐42953,640 Sir Francis Drake Boulevard,San Anselmo,94960,Stationary Source,Other Stationary Sources,5/7/2019 8:00
1475,COMP‐42958,24641 Magnolia Street,Huntington Beach,92646,Stationary Source,Odors,nan
1476,COMP‐42963,3413 Danley Road,Williams,95987,nan,nan,5/11/2019 21:00
1477,COMP‐42966,nan,Scotts Valley,nan,nan,nan,5/3/2019 0:00
1478,COMP‐42968,2148 Dunn Road,Hayward,94545,nan,nan,5/6/2019 0:00
1479,COMP‐42970,1063 Innes Avenue,San Francisco,94124,nan,nan,5/6/2019 0:00
1480,COMP‐42972,nan,Oakhurst,93644,nan,nan,5/7/2019 0:00
1481,COMP‐42973,nan,New York,10033,Stationary Source,Odors,nan
1482,COMP‐42974,nan,Santee,92071,Stationary Source,Odors,nan
1483,COMP‐42975,nan,San Jose,95128,Stationary Source,Odors,5/8/2019 0:00
1484,COMP‐42984,nan,Huntington Beach,92646,Stationary Source,Odors,5/8/2019 0:00
1485,COMP‐42986,21641 Magnolia Street,Huntington Beach,92646,Stationary Source,Odors,5/8/2019 0:00
1486,COMP‐42988,25300 California 128,Yorkville,95494,Stationary Source,Other Stationary Sources,5/9/2019 0:00
1487,COMP‐42989,4215 Mary Ellen Avenue,Los Angeles,91604,Stationary Source,Other Stationary Sources,8/17/2018 8:00
1488,COMP‐42990,75 West Easy Street,Simi Valley,93065,Stationary Source,Painting,nan
1489,COMP‐42991,75 West Easy Street,Simi Valley,93065,Stationary Source,Other Stationary Sources,5/9/2019 7:30
1490,COMP‐42993,7300 North Fresno Street,Fresno,93720,Stationary Source,Odors,5/8/2019 0:00
1491,COMP‐42998,nan,Laguna Beach,92651,Stationary Source,nan,5/9/2019 2:00
1492,COMP‐42999,649 West Elkhorn Boulevard,Rio Linda,95673,Stationary Source,nan,5/9/2019 16:30
1493,COMP‐43000,nan,nan,nan,Stationary Source,nan,5/9/2019 12:00
1494,COMP‐43001,717 West Glenoaks Boulevard,Glendale,91202,Stationary Source,nan,5/10/2019 0:00
1495,COMP‐43007,1518 Kearney Street,El Cerrito,94530,Stationary Source,Asbestos,nan
1496,COMP‐43011,1376 Lassen Avenue,Milpitas,95035,Stationary Source,Odors,5/13/2019 23:50
1497,COMP‐43012,35 North Calle Cesar Chavez,Santa Barbara,93103,Stationary Source,Dust,4/4/2019 11:45
1498,COMP‐43013,1515 Steenblock Avenue,McKinleyville,95519,Stationary Source,Smoke,5/13/2019 0:00
1499,COMP‐43016,Biring rd,Camp Connell,95223,Stationary Source,Odors,5/13/2019 0:00
1500,COMP‐43019,3207 California 32,Chico,95973,Stationary Source,Smoke,nan
1501,COMP‐43021,1585 West Mission Boulevard,Pomona,91766,Stationary Source,Other Stationary Sources,nan
1502,COMP‐43022,897 South Winchester Boulevard,San Jose,95128,Stationary Source,Odors,5/14/2019 8:00
1503,COMP‐43028,21402 Magnolia Street,Huntington Beach,92646,Stationary Source,Odors,5/13/2019 17:00
1504,COMP‐43031,nan,Nipomo,93444,nan,nan,5/11/2019 12:00
1505,COMP‐43033,7381 Elmo Street,Los Angeles,91042,Stationary Source,Smoke,5/15/2019 0:00
1506,COMP‐43034,nan,Orange,92868,nan,nan,5/15/2019 0:00
1507,COMP‐43035,243 Lark Street,Oxnard,93033,Stationary Source,Smoke,5/15/2019 0:00
1508,COMP‐43038,nan,Dunsmuir,96025,nan,nan,5/15/2019 0:00
1509,COMP‐43039,"21498, 21402 Magnolia Street",Huntington Beach,92646,Stationary Source,Dust,5/15/2019 0:00
1510,COMP‐43041,2271 North Grantland Avenue,Fresno,93723,Stationary Source,Dust,5/15/2019 0:00
1511,COMP‐43044,3501 Jack Northrop Avenue,Hawthorne,90250,Vehicle,Cars,5/16/2019 0:00
1512,COMP‐43045,nan,Escondido,nan,nan,nan,5/16/2019 0:00
1513,COMP‐43126,9967 Cottonwood Avenue,Hesperia,92345,Vehicle,Trucks,5/16/2019 0:00
1514,COMP‐43128,nan,Huntington Beach,92646,Stationary Source,Odors,5/16/2019 14:00
1515,COMP‐43129,8850 Sonoma Highway,Kenwood,95452,Stationary Source,Gas Stations,5/14/2019 17:30
1516,COMP‐43130,31625 U.S. 101,Soledad,93960,Stationary Source,Other Stationary Sources,5/8/2019 12:00
1517,COMP‐43131,21002 Beckwourth Circle,Huntington Beach,92646,Vehicle,Other Vehicles,nan
1518,COMP‐43306,nan,nan,nan,Stationary Source,Dust,nan
1519,COMP‐43308,7356 Beverly Boulevard,Los Angeles,90036,nan,nan,nan
1520,COMP‐43310,1001 I Street,Sacramento,95814,Stationary Source,Odors,5/17/2019 12:05
1521,COMP‐43314,3570 West Ashlan Avenue,Fresno,93722,Stationary Source,Dust,nan
1522,COMP‐43315,8517 Panama Lane,Bakersfield,93311,Stationary Source,Dust,nan
1523,COMP‐43316,nan,nan,nan,Stationary Source,Smoke,nan
1524,COMP‐43319,nan,nan,nan,Stationary Source,Gas Stations,5/17/2019 12:00
1525,COMP‐43322,1104 Industrial Avenue,South Lake Tahoe,96150,Stationary Source,Smoke,5/20/2019 0:00
1526,COMP‐43323,21400 Magnolia Street,Huntington Beach,92646,Stationary Source,Odors,2/1/2019 0:00
1527,COMP‐43327,nan,nan,nan,Stationary Source,Dust,nan
1528,COMP‐43328,nan,Oceanside,92054,Stationary Source,Gas Stations,nan
1529,COMP‐43329,2830 North Verdugo Road,Glendale,91208,Stationary Source,Odors,5/21/2019 0:00
1530,COMP‐43332,7563 Beverly Boulevard,Los Angeles,90036,Stationary Source,Odors,5/21/2019 0:00
1531,COMP‐43333,5005 Brookdale Circle,Fairfield,94534,nan,nan,5/21/2019 0:00
1532,COMP‐43334,7201 East Wardlow Road,Long Beach,90808,Vehicle,Trucks,5/22/2019 6:00
1533,COMP‐43335,7201 East Wardlow Road,Long Beach,90808,Vehicle,Trucks,5/22/2019 6:00
1534,COMP‐43337,170 Saint Joseph Avenue,Long Beach,90803,nan,nan,5/22/2019 9:30
1535,COMP‐43338,123 Main,everytown,nan,Stationary Source,Dust,5/22/2019 0:00
1536,COMP‐43341,nan,Perris,92570,Vehicle,Trucks,5/23/2019 0:00
1537,COMP‐43342,nan,Santa Monica,90405,Vehicle,Trucks,5/23/2019 0:00
1538,COMP‐43346,nan,Santee,92071,Stationary Source,Smoke,1/1/2019 12:00
1539,COMP‐43348,nan,Long Beach,90808,Vehicle,Trucks,5/23/2019 13:20
1540,COMP‐00221,nan,Linden,95236,Vehicle,nan,4/14/2016 17:00
1541,COMP‐04470,nan,El Centro,92243,nan,nan,2/1/2015 15:00
1542,COMP‐04476,nan,San Diego,92101,nan,nan,2/2/2015 0:00
1543,COMP‐04480,nan,Aptos,95003,nan,nan,2/2/2015 20:30
1544,COMP‐04483,nan,San Diego,92122,nan,nan,2/2/2015 22:30
1545,COMP‐04484,nan,Eureka,95501,nan,nan,1/21/2015 0:00
1546,COMP‐04490,nan,Newark,94560,nan,nan,2/3/2015 0:00
1547,COMP‐04493,Avila Beach Dr All surrounding areas,Avila Beach,93424,nan,nan,2/3/2015 0:00
1548,COMP‐04498,nan,Healdsburg,95448,nan,nan,2/3/2015 0:00
1549,COMP‐04507,nan,Los Angeles,90047,nan,nan,2/2/2015 12:15
1550,COMP‐04508,nan,Long Beach,90805,nan,nan,2/4/2015 0:00
1551,COMP‐04517,nan,Huntington Beach,92648,nan,nan,2/4/2015 15:00
1552,COMP‐04551,nan,Redondo Beach,90277,nan,nan,2/5/2015 10:00
1553,COMP‐04525,nan,Doyle,96109,nan,nan,2/5/2015 0:00
1554,COMP‐04534,nan,Orange,92865,nan,nan,2/5/2015 0:00
1555,COMP‐04542,nan,Santa Cruz,95062,nan,nan,2/1/2015 0:00
1556,COMP‐04559,nan,San Diego,92109,nan,nan,2/10/2015 0:00
1557,COMP‐04566,nan,Modesto,95355,nan,nan,2/12/2015 6:45
1558,COMP‐04582,nan,Winchester,92596,nan,nan,2/12/2015 0:00
1559,COMP‐05287,nan,Los Angeles,90066,nan,nan,5/9/2015 1:00
1560,COMP‐04590,nan,Huntington Beach,92648,nan,nan,2/14/2015 17:00
1561,COMP‐04591,nan,Huntington Beach,92648,nan,nan,2/14/2015 9:30
1562,COMP‐04600,nan,Winchester,92596,nan,nan,2/15/2015 0:00
1563,COMP‐04606,nan,Los Angeles,90068,nan,nan,10/31/2014 6:00
1564,COMP‐04616,nan,Manhattan Beach,90266,nan,nan,2/18/2015 0:00
1565,COMP‐04755,nan,Riverside,92503,nan,nan,3/9/2015 15:45
1566,COMP‐04623,nan,Lompoc,93436,nan,nan,2/19/2015 13:15
1567,COMP‐04627,nan,Fontana,92337,nan,nan,2/19/2015 0:00
1568,COMP‐04634,nan,nan,nan,nan,nan,2/21/2015 19:30
1569,COMP‐05562,nan,Palm Springs,92264,nan,nan,3/31/2015 0:00
1570,COMP‐04649,nan,Sacramento,nan,nan,nan,2/24/2015 0:00
1571,COMP‐04656,Taylor Morrison Homes of CA unknown,Auburn,95603,nan,nan,5/1/2011 12:00
1572,COMP‐04666,nan,Oakland,94603,nan,nan,2/25/2015 0:00
1573,COMP‐04674,nan,Auburn,95603,nan,nan,11/17/2014 12:00
1574,COMP‐04701,nan,San Jose,95125,nan,nan,3/2/2015 8:00
1575,COMP‐04687,nan,Alhambra,91801,nan,nan,2/26/2015 20:00
1576,COMP‐04691,nan,Napa,94558,nan,nan,1/2/2012 0:00
1577,COMP‐04711,nan,San Francisco,94102,nan,nan,1/10/2015 8:45
1578,COMP‐04716,nan,Hayward,nan,nan,nan,3/3/2015 7:30
1579,COMP‐04721,nan,Palm Springs,92264,nan,nan,3/3/2015 0:00
1580,COMP‐04729,nan,Eureka,95501,nan,nan,3/4/2015 12:30
1581,COMP‐04743,intersection of Morrison & Bellingham,Los Angeles,91607,nan,nan,3/5/2015 20:00
1582,COMP‐04746,nan,Rancho Cordova,95670,nan,nan,3/5/2015 10:00
1583,COMP‐04752,nan,Los Angeles,91423,nan,nan,3/7/2015 19:45
1584,COMP‐05203,nan,Citrus Heights,95610,nan,nan,4/26/2015 0:00
1585,COMP‐04771,14340 Addison Street #220 sometimes referred to as #220E,Los Angeles,91423,nan,nan,3/10/2015 0:00
1586,COMP‐04774,nan,Riverbank,95367,nan,nan,3/10/2015 0:00
1587,COMP‐05507,nan,Rialto,nan,nan,nan,6/3/2015 0:00
1588,COMP‐04833,nan,San Diego,92126,nan,nan,2/1/2014 0:00
1589,COMP‐04807,nan,Modesto,95350,nan,nan,3/13/2015 0:00
1590,COMP‐04808,nan,Eureka,95501,nan,nan,3/15/2015 12:00
1591,COMP‐04818,nan,Concord,nan,nan,nan,2/28/2015 0:00
1592,COMP‐04819,nan,Camino,95709,nan,nan,3/16/2015 16:00
1593,COMP‐04843,nan,Sacramento,nan,nan,nan,3/19/2015 0:00
1594,COMP‐04847,nan,North Fork,93643,nan,nan,3/19/2015 10:00
1595,COMP‐04857,nan,Roseville,95678,nan,nan,3/20/2015 0:00
1596,COMP‐04863,nan,Sacramento,nan,nan,nan,3/21/2015 0:00
1597,COMP‐04875,nan,South Lake Tahoe,96150,nan,nan,3/23/2015 14:30
1598,COMP‐04954,nan,Palm Springs,92262,nan,nan,4/2/2015 15:00
1599,COMP‐04892,nan,Santa Ana,92703,nan,nan,3/19/2015 11:00
1600,COMP‐04907,nan,Lakeport,95453,nan,nan,3/27/2015 15:45
1601,COMP‐04911,Skylark Way None,Brea,92823,nan,nan,3/27/2015 21:00
1602,COMP‐04916,nan,Anaheim,92805,nan,nan,1/1/2014 0:00
1603,COMP‐04921,nan,Fairfax,94930,nan,nan,3/30/2015 0:00
1604,COMP‐05140,nan,Perris,92570,nan,nan,4/12/2015 8:00
1605,COMP‐04950,nan,Palm Springs,92262,nan,nan,4/2/2015 15:00
1606,COMP‐04951,nan,Palm Springs,92262,nan,nan,4/2/2015 15:00
1607,COMP‐04963,nan,Castaic,91384,nan,nan,4/4/2015 10:00
1608,COMP‐04968,nan,Paso Robles,93446,nan,nan,4/4/2015 0:00
1609,COMP‐05371,nan,Santa Rosa,95405,nan,nan,4/28/2015 0:00
1610,COMP‐05008,nan,Polmont,FK2,nan,nan,3/27/2015 17:00
1611,COMP‐05024,11671 Sheldon St Unit K,SUN VALLEY,91352,nan,nan,4/9/2015 0:00
1612,COMP‐05056,nan,Redwood City,94061,nan,nan,2/28/2015 16:45
1613,COMP‐05063,nan,Cobb,95426,nan,nan,4/1/2015 8:00
1614,COMP‐05077,nan,Atwater,95301,nan,nan,4/14/2015 0:00
1615,COMP‐05089,nan,Fallbrook,92028,nan,nan,4/15/2015 0:00
1616,COMP‐05094,nan,Carmichael,95608,nan,nan,4/10/2015 0:00
1617,COMP‐05105,nan,La Mesa,91942,nan,nan,3/9/2015 0:00
1618,COMP‐05110,nan,Lemoore,93245,nan,nan,4/16/2015 12:00
1619,COMP‐05115,nan,San Bernardino,92410,nan,nan,4/17/2015 0:00
1620,COMP‐05171,nan,Chico,95973,nan,nan,4/26/2015 0:00
1621,COMP‐05172,nan,Bloomington,92316,nan,nan,4/26/2015 0:00
1622,COMP‐05303,Marsh Road & Hwy 84 Bedwell Bayfront Park,Menlo Park,nan,nan,nan,4/30/2015 12:00
1623,COMP‐05210,nan,Sacramento,nan,nan,nan,4/30/2015 0:00
1624,COMP‐05220,nan,City of Industry,nan,nan,nan,5/1/2015 1:45
1625,COMP‐05228,nan,San Bernardino,92407,nan,nan,9/13/2013 21:00
1626,COMP‐05229,nan,Orange,92869,nan,nan,4/27/2015 0:00
1627,COMP‐05266,nan,Redding,96001,nan,nan,5/7/2015 0:30
1628,COMP‐05279,440 N. Civic Dr. #205 440 N. Civic Dr. #103,Walnut Creek,94596,nan,nan,4/1/2015 0:00
1629,COMP‐05288,nan,Oakley,94561,nan,nan,5/10/2015 0:00
1630,COMP‐05313,nan,Diamond Bar,nan,nan,nan,9/1/2011 0:00
1631,COMP‐05317,nan,Oceanside,92057,nan,nan,5/13/2015 0:00
1632,COMP‐05341,nan,Agoura Hills,91301,nan,nan,5/14/2015 1:45
1633,COMP‐06179,nan,SAN LEANDRO,94577,nan,nan,8/4/2015 0:00
1634,COMP‐05366,nan,Santa Rosa,95405,nan,nan,4/28/2015 0:00
1635,COMP‐05382,5333 Baltimore Dr Apt 25,LA MESA,91942,nan,nan,5/18/2015 1:30
1636,COMP‐05384,nan,Santa Rosa,95405,nan,nan,4/28/2015 10:00
1637,COMP‐05389,nan,Santa Rosa,nan,nan,nan,5/19/2015 0:00
1638,COMP‐05401,nan,Auburn,95603,nan,nan,5/7/2015 0:00
1639,COMP‐05433,nan,San Diego,92101,nan,nan,5/27/2015 0:00
1640,COMP‐05458,nan,Clovis,93619,nan,nan,5/29/2015 0:00
1641,COMP‐05462,nan,San Diego,92113,nan,nan,5/29/2015 16:00
1642,COMP‐05463,nan,Long Beach,90802,nan,nan,5/30/2015 9:00
1643,COMP‐05478,nan,Inglewood,90301,nan,nan,6/1/2015 0:00
1644,COMP‐05583,nan,San Diego,92123,nan,nan,6/25/2014 16:30
1645,COMP‐05486,nan,Diamond Bar,91765,nan,nan,7/1/2013 0:00
1646,COMP‐05516,Bloss ave between tegner and columbus,Hilmar,95324,nan,nan,6/5/2015 0:00
1647,COMP‐05534,nan,Ontario,91761,nan,nan,6/9/2015 0:00
1648,COMP‐05639,345 Precita Ave Precita Eyes,SAN FRANCISCO,94110,nan,nan,6/16/2015 13:15
1649,COMP‐05551,nan,Anaheim,92807,nan,nan,6/10/2015 1:00
1650,COMP‐07886,nan,STOCKTON,nan,nan,nan,4/8/2016 0:00
1651,COMP‐05555,nan,San Francisco,94110,nan,nan,6/11/2015 0:00
1652,COMP‐05987,nan,NEWARK,94560,nan,nan,1/1/2014 0:00
1653,COMP‐05573,nan,San Diego,92123,nan,nan,6/25/2014 16:30
1654,COMP‐05592,nan,Los Angeles,91605,nan,nan,6/12/2015 12:00
1655,COMP‐05599,nan,Westwood,96137,nan,nan,6/13/2015 0:00
1656,COMP‐05609,nan,Sacramento,95816,nan,nan,5/15/2015 0:00
1657,COMP‐06349,nan,RICHMOND,94804‐2226,nan,nan,8/20/2015 10:00
1658,COMP‐05674,nan,Los Angeles,90039,nan,nan,6/20/2015 0:00
1659,COMP‐05699,nan,Antioch,94509,nan,nan,6/23/2015 5:00
1660,COMP‐05706,nan,Willits,95490,nan,nan,3/17/2015 0:00
1661,COMP‐05723,nan,Newport Beach,92657,nan,nan,6/26/2015 10:00
1662,COMP‐05726,nan,SAN DIEGO,92109,nan,nan,6/27/2015 18:00
1663,COMP‐05861,nan,7,nan,nan,nan,7/9/2015 0:00
1664,COMP‐05739,nan,NEWBERRY SPRINGS,92365,nan,nan,6/1/2012 0:00
1665,COMP‐05789,nan,TAFT,93268,nan,nan,4/24/2015 0:00
1666,COMP‐05793,nan,DUBLIN,94568,nan,nan,7/31/2013 9:00
1667,COMP‐05794,nan,LARKSPUR,94939,nan,nan,7/1/2015 0:00
1668,COMP‐06230,nan,CARSON,90745,nan,nan,8/6/2015 0:00
1669,COMP‐05890,Sentury Storage 11319 Folsom Blvd,RANCHO CORDOVA,95742,nan,nan,7/12/2015 10:45
1670,COMP‐05927,nan,Willits,95490,nan,nan,7/15/2015 0:00
1671,COMP‐05940,Macys Downtown Plaza ,Sacramento,95814,nan,nan,11/1/2014 0:00
1672,COMP‐05951,nan,N HOLLYWOOD,91605,nan,nan,4/2/2015 0:00
1673,COMP‐05956,nan,Valley Springs,95252,nan,nan,7/16/2015 0:00
1674,COMP‐05969,nan,San Francisco,nan,nan,nan,7/16/2015 7:00
1675,COMP‐06004,within 1/2 bloack of my apartment 3780 Georgia St,SAN DIEGO,92103,nan,nan,7/20/2015 0:00
1676,COMP‐06554,Terminous Rd Parcel 156‐0270‐001‐0000,ISLETON,95641,nan,nan,9/15/2015 18:00
1677,COMP‐06011,nan,Tracy,nan,nan,nan,7/7/2015 0:00
1678,COMP‐06033,nan,HEMET,92543,nan,nan,7/22/2015 0:00
1679,COMP‐06041,nan,COPPEROPOLIS,95228,nan,nan,7/1/2015 6:00
1680,COMP‐06059,nan,MORENO VALLEY,92557,nan,nan,7/23/2015 0:00
1681,COMP‐07223,nan,SACRAMENTO,95815,nan,nan,1/6/2016 0:00
1682,COMP‐06068,nan,SANTA CRUZ,nan,nan,nan,3/5/2014 0:00
1683,COMP‐06082,nan,HAYWARD,94542,nan,nan,7/12/2015 16:30
1684,COMP‐06095,nan,Malibu,nan,nan,nan,7/28/2015 0:00
1685,COMP‐06240,nan,MAD RIVER,95552,nan,nan,8/6/2015 17:00
1686,COMP‐06769,nan,CHULA VISTA,nan,nan,nan,10/6/2015 11:00
1687,COMP‐06120,nan,LAKESIDE,92040,nan,nan,7/30/2015 0:00
1688,COMP‐06132,nan,LA MESA,91942,nan,nan,7/30/2015 18:00
1689,COMP‐06133,nan,SAN DIEGO,92128,nan,nan,7/31/2015 3:00
1690,COMP‐06138,nan,OJAI,93023,nan,nan,7/31/2015 0:00
1691,COMP‐06155,nan,Los Angeles,91607,nan,nan,6/15/2015 11:00
1692,COMP‐06175,nan,SACRAMENTO,95838,nan,nan,6/2/2014 0:00
1693,COMP‐06197,nan,Gardena,90248,nan,nan,8/4/2015 0:00
1694,COMP‐06200,nan,SOUTH SAN FRANCISCO,94080,nan,nan,8/3/2015 0:00
1695,COMP‐06213,nan,BALLICO,95303,nan,nan,9/15/2004 10:00
1696,COMP‐06214,nan,PARADISE,90000,nan,nan,8/6/2015 0:30
1697,COMP‐06390,nan,SPRING VALLEY,91977,nan,nan,8/25/2015 16:30
1698,COMP‐06219,nan,Los Angeles,90032,nan,nan,8/6/2015 0:30
1699,COMP‐06415,nan,Granite Bay,nan,nan,nan,8/28/2015 0:00
1700,COMP‐06236,nan,WILDOMAR,92595,nan,nan,8/6/2015 0:45
1701,COMP‐06248,nan,LOS ANGELES,90022,nan,nan,8/3/2015 0:00
1702,COMP‐06253,Howard Johnson Hotel 222 W Houston Street,FULLERTON,nan,nan,nan,8/5/2015 0:00
1703,COMP‐06715,nan,Vallejo,94590,nan,nan,nan
1704,COMP‐06613,nan,SANTA CRUZ,95060,nan,nan,9/22/2015 0:00
1705,COMP‐06309,nan,DURHAM,95938,nan,nan,8/10/2015 8:00
1706,COMP‐06305,nan,CATHEDRAL CITY,92234,nan,nan,5/1/2015 0:00
1707,COMP‐06470,nan,SAN DIEGO,92109,nan,nan,9/8/2015 0:00
1708,COMP‐06333,nan,nan,94578,nan,nan,8/18/2015 13:00
1709,COMP‐06345,nan,ORANGE,92868,nan,nan,8/20/2015 0:00
1710,COMP‐06357,nan,PEBBLE BEACH,93953,nan,nan,8/20/2015 0:00
1711,COMP‐06358,nan,OAKLAND,nan,nan,nan,8/21/2015 9:00
1712,COMP‐06937,nan,Oakland,94619,nan,nan,11/2/2015 21:45
1713,COMP‐06368,nan,LOS ANGELES,91607,nan,nan,6/15/2015 7:45
1714,COMP‐07003,nan,EUREKA,95501,nan,nan,11/21/2015 0:00
1715,COMP‐06395,nan,SACRAMENTO,95821,nan,nan,8/27/2015 0:00
1716,COMP‐06430,nan,RIO VISTA,94571,nan,nan,8/30/2015 0:00
1717,COMP‐06419,nan,STOCKTON,95204,nan,nan,8/29/2015 0:00
1718,COMP‐06709,"end of Lemon ST waterline,south of Mare Island",VALLEJO,945990,nan,nan,10/5/2015 0:00
1719,COMP‐06431,nan,NORCO,92860,nan,nan,8/30/2015 6:00
1720,COMP‐06447,nan,CORONA,92880,nan,nan,9/1/2015 11:00
1721,COMP‐06473,nan,LOS ANGELES,90012,nan,nan,9/8/2015 12:00
1722,COMP‐06576,nan,HAYWARD,94545,nan,nan,9/17/2015 0:00
1723,COMP‐06550,nan,Albany,94706,nan,nan,9/15/2015 0:00
1724,COMP‐06531,nan,EMPIRE,nan,nan,nan,9/12/2015 0:00
1725,COMP‐06532,nan,RESEDA,91335,nan,nan,9/14/2015 0:00
1726,COMP‐06535,nan,Fresno,ca,nan,nan,9/14/2015 0:00
1727,COMP‐06536,nan,Los Angeles,91335,nan,nan,8/25/2015 11:15
1728,COMP‐07455,nan,ANAHEIM,92806,nan,nan,2/1/2016 0:00
1729,COMP‐06544,nan,MARTINEZ,94553,nan,nan,6/1/2015 0:00
1730,COMP‐06545,nan,MARTINEZ,94553,nan,nan,6/1/2015 0:00
1731,COMP‐06571,nan,Costa Mesa,92626,nan,nan,9/16/2015 0:00
1732,COMP‐06572,nan,Los Angeles,90026,nan,nan,9/17/2015 0:00
