favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
3,TweetDeck,Today I announced the creation of the Alabama Drone Task Force to review Alabama’s potential use of drones. Details: http://t.co/MA2wBA58z3,,False,Fri Aug 22 18:33:48 +0000 2014,8,502886368578908161
6,TweetDeck,"September’s unemployment rate is the lowest rate we’ve seen in seven months, and we are confident that this trend will continue.",,False,Fri Oct 17 13:28:08 +0000 2014,4,523103166619852801
1,Hootsuite,"I enjoyed talking with Don Bussey, he is one of the judges of the mule contest for Winfield annual mule day http://t.co/witxPc5zpG",,False,Sat Sep 27 14:52:10 +0000 2014,0,515876556536053760
0,Twitter for iPhone,Commissioner Buckner has a link on the DHR website &amp; I encourage all agencies and organizations to add the link to their website as well.,,False,Wed Sep 24 15:12:22 +0000 2014,1,514794476154654720
8,Twitter for iPad,"Our @AlabamaEMA will closely monitor the weather system, &amp; is prepared to respond if assistance is needed. #alwx",,False,Mon Oct 13 22:59:33 +0000 2014,19,521797416836931584
1,Twitter for iPhone,Just like we deal with natural disasters we will deal with this issue. We are as prepared as we can be should a case of Ebola be found in AL,,False,Thu Oct 30 17:20:28 +0000 2014,2,527872679953833984
10,TweetDeck,"I joined 14 Republican governors to urge President Obama to promote reliable, affordable energy policy.  Details: http://t.co/D0LsTDWvsR",,False,Wed Sep 10 19:30:46 +0000 2014,4,509786075813142528
3,TweetDeck,"96.8% of employers in Alabama are small business owners with $14.4 billion in total income. And 111,000 women owned small businesses in 2011",,False,Mon Sep 15 16:21:18 +0000 2014,11,511550334272294912
5,Twitter for iPhone,Fostering relationships with small businesses is extremely important to me. Small business owners will be the voice of reform.,,False,Tue Oct 21 18:09:05 +0000 2014,3,524623419946840064
9,Twitter for iPhone,I am proud of @AlaLaunchpad b/c it brings everyone together to support entrepreneurship to accelerate the development of new adventures.,,False,Fri Sep 26 16:15:43 +0000 2014,10,515535193944649728
